ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"#\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Learning Name\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_2\" Title=\"Learning Name\" Type=\"Text\" ID=\"{aea6c7d6-1d6a-4edf-82e2-8cf8cfad5534}\" StaticName=\"field_2\" />","<Field ID=\"{a7506883-8091-4635-9178-13d167e2aeb0}\" DisplayName=\"Description\" Name=\"field_3\" StaticName=\"field_3\" Type=\"Note\" />","<Field Name=\"field_4\" FromBaseType=\"FALSE\" Type=\"Note\" DisplayName=\"Technical area\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" NumLines=\"6\" RichText=\"FALSE\" RichTextMode=\"Compatible\" IsolateStyles=\"FALSE\" Sortable=\"FALSE\" ID=\"{e7c9fc25-c38a-4d3d-bee9-143aed15d130}\" StaticName=\"field_4\" CustomFormatter=\"\" RestrictedMode=\"TRUE\" AppendOnly=\"FALSE\" />","<Field ID=\"{de21ec7b-8588-40a0-ada8-2c38c997d2e1}\" DisplayName=\"Owner\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{2f4a96de-a845-4eac-b335-740141496112}\" DisplayName=\"Contact details\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{6d44ea99-4442-4b6b-b28a-703467e1b3a2}\" DisplayName=\"Developer\" Name=\"field_7\" StaticName=\"field_7\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Focus area\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_8\" Title=\"Focus area\" Type=\"Text\" ID=\"{d907a78f-13a2-4dbd-af10-3d4487a4c90f}\" StaticName=\"field_8\" />","<Field Name=\"field_9\" FromBaseType=\"FALSE\" Type=\"Note\" DisplayName=\"Language\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" NumLines=\"6\" RichText=\"FALSE\" Sortable=\"FALSE\" ID=\"{d9cfd906-fe29-40bc-9400-30ea31069f05}\" StaticName=\"field_9\" CustomFormatter=\"\" RestrictedMode=\"TRUE\" RichTextMode=\"Compatible\" IsolateStyles=\"FALSE\" AppendOnly=\"FALSE\" />","<Field ID=\"{c0f0cebd-376a-4119-98b1-d8330f556530}\" DisplayName=\"Platform\" Name=\"field_10\" StaticName=\"field_10\" Type=\"Text\" CustomFormatter=\"\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" MaxLength=\"255\" />","<Field ID=\"{1e4a6821-0a93-4b1c-ab3a-52b83511cf2f}\" DisplayName=\"Intended audience\" Name=\"field_11\" StaticName=\"field_11\" Type=\"Text\" />","<Field ID=\"{073ebc50-46aa-48c2-8a3a-8957ddb1cd88}\" DisplayName=\"Modality\" Name=\"field_12\" StaticName=\"field_12\" Type=\"Note\" />","<Field ID=\"{b0666b1b-5863-4129-804a-b6bfd5db3222}\" DisplayName=\"Link\" Name=\"field_14\" StaticName=\"field_14\" Type=\"Note\" />","<Field ID=\"{542498ca-5bdf-4c3e-be33-0d4281b00310}\" DisplayName=\"Identified Gaps/ Deficiences\" Name=\"field_15\" StaticName=\"field_15\" Type=\"Text\" />","<Field ID=\"{02fd8d72-5973-4837-98eb-ecd0034359c8}\" DisplayName=\"Contributor\" Name=\"field_16\" StaticName=\"field_16\" Type=\"Number\" />","<Field ID=\"{faae5f17-c321-4c0c-a365-a29989adc941}\" DisplayName=\"Comment\" Name=\"field_17\" StaticName=\"field_17\" Type=\"Text\" />","<Field Type=\"Text\" DisplayName=\"Sign-off status\" Title=\"Sign-off status\" StaticName=\"_Flow_SignoffStatus\" ID=\"{81c5d389-440b-4b96-9e55-1bb152b9f45b}\" Name=\"_x0024_Resources_x003a_core_x002\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Number\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Learning Name","Description","Technical area","Focus area","Intended audience","Owner","Developer","Contact details","Language","Modality","Platform","Link","Comment","Sign-off status"
"Management and Facilitation of a Country COVID-19 Intra-Action Review (IAR)","WHO has developed a Guidance for Conducting a Country COVID-19 Intra-Action Review (IAR) and ten accompanying tools for countries to conduct periodic reviews of their response during this public health emergency of international concern (PHEIC)","Research & monitoring and evaluation","IAR","WHO staff/MoH/HCPs","WHO","HQ/WHE","WHEtraining@who.int","Arabic, English, Kazakh, Spanish, Portuguese, Russian, Tajik","Online","OpenWHO","https://openwho.org/playlist/dedicated/552620/0_dahrllhn/0_xerri6jz"," ",
"Management and Facilitation of an After Action Review AAR","Introduction to the management and the facilitation of an After Action Review (AAR) following the response to an event of public health concern","Research & monitoring and evaluation","AAR","WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/496674/0_bmn0kb3y/0_rvnw5fvh"," ",
"Management of ill travelers at points of entry in the context of the COVID-19 outbreak","Outline the core capacities and mechanisms to be in place for managing ill travelers suspected to have COVID-19 at points of entry and on conveyances of all types. * ""The training will need to be updated to align with the IHR amendments when they enter into force"" ","Points of entry (PoEs) and border health","COVID-19","National IHR Focal Points, public health authorities and operators at Points of Entry, conveyance operators, other stakeholders involved in managing public health events at Points of Entry","WHO","HQ/WHE",,"Arabic, English, French, Russian","Online","HSLP ","https://extranet.who.int/hslp/training/course/view.php?id=325",,
"Mass Casualty Management","This course equips participants with the knowledge and skills to effectively manage mass casualty incidents. It covers key aspects such as preparedness, response, and recovery based on the emergency unit’s mass casualty management plan. Participants will learn how to assign staff roles, coordinate internal and external communication, and ensure smooth patient flow. The training also focuses on mobilizing necessary equipment and supplies, managing crowds and conflicts, and continuously improving processes through performance analysis.","Health emergency preparedness and response management","Mass casualty management","Professionals in EMT or Emergency Unit","WHO","WHO Academy","whoasupport@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOA+0002_MCM_EN+2025?source=edX"," ",
"Monitoring and evaluation of national action plans on antimicrobial resistance
","The aim of this course is to provide guidance for countries on the monitoring and evaluation of national action plans on antimicrobial resistance (AMR NAPs).
","Research & monitoring and evaluation","M&E","AMR multisectoral coordination committee or working group, persons responsible for M&E in AMR NAPs ","WHO","HQ/AMR","whoasupport@who.int","English","Online","WHO Academy","https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOAcademy-Hosted+H0041EN+H0041EN_Q4_2024?source=edX
",,
"Mpox and the 2022-2023 global outbreak","This course provides a brief overview of mpox, including new insights on transmission, clinical presentation, preventive measures and outbreak response.","Health emergency preparedness and response management","Monkeypox","Health workers and public ","WHO","HQ/WHE/EPP","WHEtraining@who.int","English, French, Spanish","Online","OpenWHO","https://openwho.org/playlist/dedicated/503162/0_db1xy1c7/0_p02ol27o
",,
"Mpox: Epidemiology, preparedness and response for African outbreak contexts","Understand the epidemiology, modes of transmission, clinical presentation, diagnostics, and treatment of mpox, as well as the strategies needed for effective prevention and outbreak investigation and response.","Health emergency preparedness and response management","Monkeypox","Public health professionals/HCPs","WHO","HQ/WHE","WHEtraining@who.int","Arabic, Chinese, English, French, Portuguese, Russian, Spanish","Online","OpenWHO","https://openwho.org/playlist/dedicated/503162/0_2y98iloq/0_25is3ot2"," ",
"Mpox: Introductory course for African outbreak contexts","Provide a general introduction to the disease through a video and accompanying downloadable presentation that can be reviewed at your own pace","Health emergency preparedness and response management","Monkeypox","Public health professionals/HCPs","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/503162/0_k5teeccu/0_mtu9ipu1"," ",
"Multi-Hazard Response Framework: Hospital Planning for Health Emergency and Disaster Response","Provide personnel with the knowledge, contents and methodology for planning hospital response to health emergencies and disasters","Health services provision","Hospital planning for emergencies","WHO staff","WHO","PAHO/Virtual campus for public health ","https://campus.paho.org/en/contact","Spanish","Online","Virtual campus for public health","https://www.campusvirtualsp.org/es/node/30623",,
"National Action Plans for Health Security (NAPHS)","This introductory level course provides a general overview of the National Action Planning for Health Security (NAPHS) process and methodology. This includes the critical steps necessary to support the development, implementation & monitoring of 5-year strategic NAPHS as well as 12/24 month operational NAPHS.","Health emergency preparedness and response management","NAPHS","Member states/ MoH/WHO staff","WHO","HQ/WHE/HSP","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/500114/0_xiddrvt4/0_0ft4cjao",,
"National health emergency risk communication: training package","The capacity-building package on ERC in five steps to support country development or strengthening of ERC under IHR. The five-step package is a unique, sustained, country-tailored capacity-building project in ERC. It comprises: 1. Training 2. Capacity mapping 3. Plan writing 4. Plan testing 5. Plan adoption.","Risk communication and community engagement (RCCE)","RCCE","WHO staff/MoH/HCPs","WHO","EURO/WHE/RCCE-IM",,"English","Training toolkits and packages",,"https://www.who.int/europe/publications/i/item/WHO-EURO-2018-2993-42751-59637",,
"National IHR Focal Point Workshop","Workshop to build the capacity of NFPs in event detection, verification and risk assessment. * ""The training will need to be updated to align with the IHR amendments when they enter into force"" ","IHR Coordination and National IHR Focal Point Functions","IHR","NFPs","WHO","HQ/WHE",,"English","In-person",,,,
"Next Generation Sequencing (NGS) for Influenza and SARS-CoV-2: From Sample Collection to Analysis","This course explained the end-to-end workflow of NGS, from sample preparation to the upload of genomic sequencing data to public-domain or public-access databases.","Laboratory","Influenza","Laboratory scientists and technicians, laboratory managers and directors who make policies and protocols for their laboratories, and bioinformatics scientists ","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/529855/0_5c4mlcg4/0_cv4xqt8h",,
"ONE HEALTH: Basics of multisectoral collaboration at the Human - Animal - Environment interface","Intended to provide comprehensive materials that will allow for designing and organizing training workshops for all stakeholders in health laboratory processes, from management, to administration, to bench-work laboratorians.","Health emergency preparedness and response management","One Health","Professionals from human, animal or environmental health sectors ","WHO","HQ/WHE","whoasupport@who.int","English","Online"," WHO Academy","https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOA+0094_OH_EN+2024?from=discovery&amp;source=edX
"," ",
"Operational Considerations for Managing COVID-19 Cases and Outbreaks in Aviation","Draft an airport public health contingency plan for managing COVID-19 cases and outbreaks in aviation","Points of entry (PoEs) and border health","IHR","National IHR Focal Points (NFPs), airport health authorities and local, provincial, and national health surveillance and response systems, civil aviation authorities, airport operators, aircraft operators, airports, and airlines.","WHO","HQ/WHE",,"English","Online","HSLP ","https://extranet.who.int/hslp/training/enrol/index.php?id=328"," ",
"Operational Considerations for Managing COVID-19 Cases and Outbreaks on Board Ships","Draft an outbreak management plan for managing COVID-19 cases and outbreaks onboard ships. * ""The training will need to be updated to align with the IHR amendments when they enter into force"" ","Points of entry (PoEs) and border health","IHR","National IHR Focal Points, Port health authorities (PHAs) and local, provincial, and national health surveillance and response systems, ship operators and port operators.","WHO","HQ/WHE",,"English","Online","HSLP ","https://extranet.who.int/hslp/training/enrol/index.php?id=326"," ",
"Operational Planning Guidelines for COVID-19 for UNCT and other partners","Operationalize the strategic plan for the COVID 19 outbreak","Health emergency preparedness and response management","COVID-19","Member states/ MoH/WHO staff","WHO","PAHO/Virtual campus for public health ","https://campus.paho.org/en/contact","Spanish","Online","Virtual campus for public health","https://www.campusvirtualsp.org/es/node/28952",,
"Orientation on the relevance of gender for health emergencies","4/5 hr orientation for WHE staff working at country level, to introduce key concepts and tools available to operationalize a gender analysis within health emergency preparedness and repsonse programming. ","Health emergency preparedness and response management","Gender and health emergencies","WHE Staff","WHO","HQ/WHE",,"English","Blended"," "," ","2 pilot sesions held in Turkey in 2022, more forthcoming in 2023. ",
"Orientation to International Outbreak Response with GOARN/WHO","This course introduces participants to the opportunities, processes, challenges and realities of working as part of an international multidisciplinary outbreak response team on a GOARN deployment with the World Health Organisation (WHO). This course also details the step involved to apply for deployment and introduces concepts for adapting specialized technical public health skills in a field-setting.","Health emergency preparedness and response management","Outbreak Response","GOARN Partners; MoH; Local Responders","WHO","HQ/WHE/GOARN","goarn@who.int","English","Blended","GOARN"," "," ",
"Preparedness and Resilience for Emerging Threats (PRET)","The resources provided through WHO’s PRET - Preparedness and Resilience for Emerging Threats initiative support countries in updating their pandemic plans by incorporating lessons from recent events. These resources leverage the current global momentum and adopt a &quot;mode of transmission lens&quot; to guide preparedness efforts.

The first PRET module specifically addresses preparation for respiratory pathogens.","Health emergency preparedness and response management","Pandemic planning","WHO/MoH","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/536083/0_aht29z8m/0_9w81mlf1",,
"Personal well-being for deployment","This eModule will detail the importance and possible ways of building resilience to cope with stress and hardship. It will introduce the mental and physical well-being considerations for pre-, during and post-deployment.  The module will give you the tools you need to assume responsibility for your personal well-being and to facilitate well-being initiatives. You will also receive practical advice from former deployees for pre-, during and post-deployment. You will be able to apply resilience strategies and tools adapted to your individual needs to enhance your resilience for deployments.  ","Health emergency preparedness and response management","Outbreak Response; wellbeing","GOARN Partners; MoH; Local Responders","WHO","HQ/WHE/GOARN","goarn@who.int","English","Online","GOARN","https://goarnlms.org/group/49"," ",
"Prevention & response to sexual exploitation & abuse for public health practitioners in Ukraine","This course teaches the basics on PRSEAH including the 6 core principles, accountability frameworks and how to support a survivor/victim in the Ukraine emergency operation.","Health emergency preparedness and response management","PRSEAH","Public health workers in Ukraine","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/channel/PRSEAH+for+public+health+practitioners+in+Ukraine/527797",,
"Ready4Response Tier 1: Response context and principles","Ready4Response is a multi-tiered core curriculum that aims to develop consistent learning standards across the emergency response workforces at national level. It equips participants with essential competencies needed to work within public health emergency response.","Health emergency preparedness and response management","Emergency Response","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English, French, Ukrainian","Online","OpenWHO","https://openwho.org/playlist/dedicated/494536/0_zaoidkyu/0_08q2gf61
",,
"Ready4Response Tier 2: Systems, structures and skills","Tier 2 focuses on the Incident Management System (IMS) and its core functions. It also examines core skills required to work effectively in a response team and describes the basic principles of risk management.","Health emergency preparedness and response management","Emergency Response","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English, French, Ukrainian","Online","OpenWHO","https://openwho.org/playlist/dedicated/494536/0_a0z75vwt/0_loggfb63",,
"Regulatory preparedness to authorize the use of pandemic vaccines in importing countries
","This course offers opportunities to practise the core competencies required to make timely, effective decisions during a public health emergency, without compromising quality, through multiple choice questions, exploratory tasks, reflection, self-assessment and case studies. 
","Health emergency preparedness and response management","Regulations for Vaccines","National regulatory authorities (NRAs) of medical product registration, National disease control authorities handling disease control and public health emergency response, National immunization programmes in charge of vaccine deployment, and WHO staff","WHO","HQ/WHE","whoasupport@who.int","English","Online","WHO Academy","https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOA+0027_REGPREP_EN+2023?from=discovery&amp;source=edX
",,
"Response Preparedness for Zoonotic Disease Outbreaks Using a One-Health Approach","Introduces the concepts of the coordinated response to manage zoonotic disease outbreaks between sectors for animal health, public health and the environment as well as other relevant stakeholders. In addition, it fosters understanding of the diverse perspectives of different stakeholders during an outbreak response.","Zoonotic diseases","One Health","Member States, One health stakeholders","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/525718/0_drmgsh37/0_7hsnn5w1
",,
"Risk communication essentials","In this set of 5 modules, we will look at: what is risk communication and why it is important; key elements of risk communication; risk communication capacities, such as policy, strategies and evaluation; SOCO, spokesperson tips and message development; and exercises and ways they can be used to test preparedness in communicating risks.","Risk communication and community engagement (RCCE)","Risk communication","Member states/ MoH/WHO staff","WHO","HQ/WHE/CRS","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/501691/0_8e5kljir/0_2q00gfhv",,
"SARS-CoV-2 antigen rapid diagnostic testing","All personnel performing SARS-CoV-2 antigen rapid diagnostic tests (Ag-RDT) need to understand how to safely perform testing, ensure quality testing and interpret results. This course was developed by WHO and FIND, the global alliance for diagnostics, to provide theoretical knowledge on SARS-CoV-2 Ag-RDT testing","Laboratory","COVID-19","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","Arabic,English,  Kazakh, Portuguese , Russian, Spanish, Tajik ","Online","OpenWHO","https://openwho.org/playlist/dedicated/529855/0_9v311fgo/0_tkgay1wn",,
"Strengthening collaboration between human and animal health sectors for improved health security","This course provides insight into some of WHO’s work at the animal-human-environment interface, including National Bridging Workshops (NBWs), field simulation exercises, tripartite guidance and practical tools aimed to support countries in the operationalization of One Health mechanisms at their level.","Health emergency preparedness and response management","One Health","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/525718/0_frz2e7kc/0_e9jqd26k",,
"Strengthening the health sector's role in the sound management of chemicals
","Learn about raising awareness on the health impacts of chemicals and empowering the health professional’s role in the sound management of chemicals.
","Chemical, biological, radiological and nuclear emergencies","Management of chemicals"," Health and related professionals involved in the sound management of chemicals.","WHO","HQ/WHO Academy","whoasupport@who.int","English","Online","WHO Academy","https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOA+0033_CMM_EN+2023?from=discovery&amp;source=edX
",,
"The Joint Risk Assessment (JRA OT): A Training for Implementers","Participants will explore the step-by-step process for setting up the JRA for zoonotic diseases, conducting the technical risk assessment, and translating results to risk management options and communication needs. The JRA OT allows decision-makers to build and implement science-based risk management measures that are aligned between sectors and implemented jointly.","Zoonotic diseases","Risk assessment, One health","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/media/JRA%20Training%20for%20implementers%3A%20Overview%20/0_5wvf6ayl/525718",,
"The Role of Parliaments and Parliamentarians in Strengthening Health Security Preparedness","These video resources provides you an in-depth understanding of how parliamentarians can utilize their diverse roles and positions to advocate, lead, and prioritize improved emergency preparedness and health security.","Leadership ","Parliaments in health security","Parliamentarians","WHO","HQ/WHE","WHEtraining@who.int","English, transcripts available in all official UN languages ","Online","OpenWHO","https://openwho.org/playlist/dedicated/538740/0_q449ey6u/0_iq88tn96","Subtitle availabe in all official UN language",
"Use of Epidemic Intelligence systems with a particular focus on event-based surveillance for pandemic preparedness","This course includes different approaches on Epidemic Intelligence with examples drawn from the work of the World Health Organization (WHO), the European Centre for Disease Prevention and Control (ECDC), the United States Centers for Disease Control and Prevention (US CDC) and the Italian Istituto Superiore di Sanità (ISS). This course aims to support the creation of a culture of epidemic intelligence and increase awareness of the WHO Epidemic Intelligence from Open Sources (EIOS) initiative that could bridge access to Member States for Strengthening their epidemic Intelligence capacity.","Surveillance","IHR, surveillance","Health care workforce, public healht officers and policy makers/ Member states/ MoH/WHO staff","WHO","HQ/WHE/EIOS","eios@who.int","English","Online","WHO Academy","https://whoacademy.org/coursewares/course-v1:WHOAcademy-Hosted+H0118EN+2025_Q1?source=edX",,
"Wheelchairs in emergencies
","This course teaches how to provide wheelchairs in emergencies following four service steps
","Health emergency preparedness and response management","Assistive products in emergencies ","Health workers , first responders,  carers ","WHO","HQ/WHE","whoasupport@who.int","English","Online","WHO Academy","https://web-staging.lxp.academy.who.int/coursewares/wheelchairs-in-emergencies-en?source=gateway ",,
"WHO costing and budgeting tool for national action plans on antimicrobial resistance
","The aim of this course is to introduce the WHO costing and budgeting tool for national action plans on antimicrobial resistance (AMR).
","Project management","Costing","Healthcare workers","WHO","HQ/AMR","whoasupport@who.int","English, French, Spanish","Online","WHO Academy","https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOAcademy-Hosted+H0043EN+H0043EN_Q4_2024?source=edX
",,
"WHO Standard Operating Procedures (SOPs) for Emergencies","This course on WHO Standard Operating Procedures (SOPs) for Emergencies is designed for personnel who will be assigned by WHO to go on deployment in response to health emergencies. It covers all the essential areas of WHO administrative procedures in response to health emergencies.","Human resources","SOPs for Emergencies","WHO staff /consultants/ Member states ","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/channel/WHO+Standard+Operating+Procedures+for+Emergencies/495160",,
"WHO/ICRC Basic Emergency Care: Conflict-Related Injuries","The course support the delivery of quality emergency care for patients with conflict-related trauma, covering penetrating injury, blast injury and burns. The content is meant to be used as refresher material or as a ‘just-in-time' educational resource.","Health services provision","Clinical care","Frontline medical staff (physicians, nurses, emt)","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/537171/0_an1ufwse/0_tk4xv7rb",,
"WHO-ICRC Basic Emergency Care: approach to the acutely ill and injured","The Basic emergency care (BEC) course teaches a systematic approach to the initial assessment and management of time-sensitive critical conditions where early intervention saves lives. The goal of these modules is to prepare and support all health providers as they provide emergency care to seriously ill patients.","Health services provision","Clinical care","Frontline medical staff (physicians, nurses, emt)","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/537171/0_7mm5wr4l/0_lic60gzx",,
"Kazakhstan Country-Focused Leadership in Emergencies Course","This course is adapted from the Leadership in Emergencies and is the first multisector country-level Leadership in Emergencies course. The course is designed for 5 days aimed at enhancing critical non-technical skills essential for effective emergency management, such as team coordination, problem-solving, decision-making, and effective communication and negotiation with various stakeholders. ","Leadership ","Leadership in emergencies","Managers from relevant sectors involved in emergencies at the country level","WHO","HQ/WHE/LCD","WHEtraining@who.int","English, Kazakh","In-person",,,,
"An integrated approach to building health systems resilience","Explore key requirements for enabling health system resilience with an integrated systems approach.","Health emergency preparedness and response management","Health system resilience","WHO staff/MoH/HCPs","WHO","HQ/WHE",,"English","Online","WHO Academy","https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOAcademy-Hosted+H0060EN+H0060EN_Q4_2024?source=edX",,
"Advancing national civil-military collaboration to strengthen health emergency preparedness","The aim of the course is to provide the public health sector and military actors and services at the national level with guidance for establishing, advancing, and maintaining collaboration and coordination, with the focus on country core capacities required to effectively prevent, detect, respond to, recover from and build back better after health emergencies.","Health emergency preparedness and response management","Civil-military collaboration","Member states/ MoH/WHO staff","WHO","HQ/WHE/HSP","WHEtraining@who.int","English, transcripts available in all official UN languages","Online","OpenWHO","https://openwho.org/playlist/dedicated/527251/0_5qpallbj/0_iq88tn96",,
"An introduction to the people-centred approach to addressing antimicrobial resistance in human health
","The aim of this course is to introduce the concept and content of the WHO people-centred approach to addressing antimicrobial resistance (AMR) in the human health sector.
","Health emergency preparedness and response management","AMR","National and subnational policy-makers responsible for prioritizing and leading AMR interventions in the human health sector","WHO","HQ/AMR","whoasupport@who.int","English","Online","WHO Academy","https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOAcademy-Hosted+H0040EN+H0040EN_Q4_2024?from=discovery&amp;source=edX
",,
"Antimicrobial Stewardship: A competency-based approach
","This course will equip clinicians who frequently prescribe antimicrobials with knowledge and tools to improve their use of these essential medications in daily clinical practice.
","Health services provision","Antimicrobial Stewardship","Clinicians","WHO","HQ/AMR","whoasupport@who.int","English","Online","WHO Academy","https://web-staging.lxp.academy.who.int/coursewares/course-v1:WHOAcademy-Hosted+H0098EN+H0098EN_Q4_2024?source=edX
",,
"Assistive products in emergencies
","This module provides an introduction to assistive products in emergencies.
","Health emergency preparedness and response management","Assistive products in emergencies ","Health workers , first responders,  carers ","WHO","HQ/WHE","whoasupport@who.int","English","Online","WHO Academy","https://web-staging.lxp.academy.who.int/coursewares/assistive-products-in-emergencies-en?source=gateway",,
"Avian and other zoonotic influenza: Introduction","This course gives an overview of the key information on animal influenza, human cases, and elements of prevention, preparedness and response to human cases.","Zoonotic diseases","Influenza","Member states/ MoH/WHO staff","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/media/Introduction%20Zoonotic%20Influenza/0_cq1foy2r/503150
",,
"Basic Emergency Care Provider Course","Emergency care providers must respond to ‘undifferentiated’ patients, those with acute symptoms for which the cause may not be known. This course introduces a systematic approach to managing acute, potentially life-threatening conditions even before a diagnosis is known, this clinical training aimed at frontline providers (doctors, nurses, clinical officers) who by necessity provide emergency care at their facilities, but have received little or no formal training in the field. The BEC course is traditionally taught over four and a half days, with a final written assessment given on the remaining half day. The course covers five major modules: The ABCDE approach, Trauma, Difficulty in Breathing, Shock, and Altered Mental Status. Each core component re-emphasizes the ABCDE approach as it relates to the management of varied emergency conditions. Participants are assessed using pre- and post-course multiple choice exams, skills performance, attendance, and the ability to manage patient case scenarios. The pre-course exam provides a means of baseline assessment, and is reviewed with the students for educational purposes. ","Health services provision","Clinical care","Frontline medical staff (physicians, nurses, emt)","WHO","HQ/WHE",,"English","In-person",,,,
"Basic Precautions: Hand Hygiene (COVID-19)","Demonstrate the WHO correct ways to wash hands","Infection prevention and control (IPC) & safe environment in health facilities","COVID-19","WHO staff/MoH/HCPs","WHO","PAHO/Virtual campus for public health ","https://campus.paho.org/en/contact","Spanish","Online","Virtual campus for public health","https://www.campusvirtualsp.org/es/node/29045",,
"CBDE Awareness: Recognizing Signs of Deliberate Release of Chemical or Biological Agents","Ensure that all participants recognize possible deliberate events with chemical or biological agents and know the different response types this will require compared to other emergencies.","Chemical, biological, radiological and nuclear emergencies","CBRN","WHO staff and emergency responders ","WHO","HQ/WHE","WHEtraining@who.int","English","Online","OpenWHO","https://openwho.org/playlist/dedicated/501116/0_gax9z8nk/0_31qixco6",,
